pink-red,pink-orange,pink-yellow,pink-green,pink-blue,pink-purple,red-orange,red-yellow,red-green,red-blue,red-purple,orange-yellow,orange-green,orange-blue,orange-purple,yellow-green,yellow-blue,yellow-purple,green-blue,green-purple,blue-purple,average,var,std
0.87,1.79,1.15,0.87,5.69,1.76,1.44,0.53,1.0,4.78,0.93,0.79,0.47,3.79,0.16,1.0,4.49,0.65,5.21,1.6,3.91,2.04,2.99,1.73
2.76,2.18,1.88,2.21,1.77,3.35,0.48,0.42,1.96,2.83,0.98,0.49,1.45,2.35,1.48,1.9,2.52,1.27,1.2,2.97,3.79,1.92,0.83,0.91
2.03,2.28,4.41,1.97,3.04,4.46,1.05,1.94,0.45,0.83,4.09,3.46,0.35,1.72,2.23,1.44,1.13,3.27,0.31,3.04,2.72,2.2,1.59,1.26
4.3,2.86,4.27,3.12,5.48,2.1,1.42,0.73,1.71,1.15,1.78,0.76,0.06,2.7,0.08,1.18,1.28,1.28,2.7,0.09,2.7,1.99,2.06,1.43
0.36,2.71,0.48,0.77,0.98,0.14,2.39,0.16,0.55,0.62,0.01,2.26,1.89,1.72,2.66,0.32,0.43,0.22,0.22,0.57,1.06,0.98,0.77,0.88
0.64,0.97,1.72,0.78,0.14,0.86,0.41,1.22,1.06,0.24,1.17,1.48,0.9,0.17,1.24,2.27,1.57,2.43,0.8,0.22,0.87,1.01,0.39,0.62
1.89,0.22,0.5,0.06,1.79,2.97,0.86,1.4,1.31,2.82,0.76,0.1,0.06,1.68,0.51,0.56,1.58,1.9,2.18,0.74,3.54,1.31,0.97,0.98
1.57,4.64,2.06,2.66,1.95,2.47,4.01,2.31,2.7,1.7,2.46,0.09,2.18,0.44,0.27,0.4,0.86,0.17,0.9,0.2,0.79,1.66,1.55,1.24
2.3,0.96,2.55,2.47,0.98,0.37,2.16,0.71,0.16,1.29,0.89,0.44,0.29,1.62,1.27,0.68,1.82,3.03,1.05,2.41,0.32,1.32,0.73,0.85
0.74,1.33,1.45,1.78,0.1,1.87,0.52,0.04,0.93,1.77,0.87,0.02,0.99,1.85,0.16,1.6,2.68,0.55,2.29,2.46,2.89,1.28,0.75,0.87
1.71,0.14,1.71,1.94,1.17,2.03,0.44,0.21,1.08,0.03,0.19,0.77,0.5,0.95,0.84,1.11,2.27,1.95,1.13,0.87,0.38,1.02,0.45,0.67
1.24,0.21,1.67,2.06,1.27,0.71,0.19,0.09,0.92,1.94,2.3,0.0,1.1,1.45,1.26,1.27,2.59,2.39,2.05,2.81,1.44,1.38,0.66,0.81
